Institute,Date,Saenuri(NFP),Democratic United(DUP),Unified Progressive(UPP),Liberty Forward(LFP),Korea Vision(KVP),New Progressive(NPP)
Realmeter,23 December 2011,31.2%,30.9%,6.1%,2.2%,–,1.3%
Realmeter,13 January 2012,29.5%,34.7%,3.2%,2.4%,–,1.8%
Realmeter,"Jan.25–27, 2012",30.3%,37.1%,4.0%,2.0%,–,1.0%
Realmeter,"Jan.30–Feb.2, 2012",32.9%,36.9%,3.9%,1.5%,–,0.9%
Realmeter,"Feb.6–10, 2012",33.9%,35.8%,4.2%,2.4%,–,0.8%
Hankyoreh / KSOI,"Feb.24–25, 2012",38.2%,32.9%,3.1%,1.7%,1.5%,1.1%
Realmeter,"Feb.27–Mar.2, 2012",36.3%,36.3%,6.1%,1.7%,0.4%,–
Realmeter,5–9 March 2012,40.3%,32.7%,4.8%,2.3%,–,–
KBS,10–11 March 2012,34.1%,35.4%,3.6%,1.7%,–,–
Realmeter,12–16 March 2012,39.4%,33.7%,5.7%,2.3%,–,–
Realmeter,19–23 March 2012,37.4%,33.3%,7.5%,2.1%,–,–
Realmeter,26–30 March 2012,39.8%,30.5%,8.1%,2.3%,–,–
Realmeter,28 March 2012,37.8%,30.5%,12.1%,2.3%,1.9%,1.6%
Hankyoreh / KSOI,31 March 2012,38.3%,33.5%,7.2%,2.4%,0.3%,1.0%
Research View,1 April 2012,42.3%,29.5%,9.7%,3.9%,1.1%,2.1%
