Region,Municipality,# of electorate,07:00,09:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,# of voters
Seoul,종로구,142069,2695,10990,25996,34537,45625,53272,60806,67686,73516,81211,81211
Seoul,중구,115683,2140,9786,21685,27928,35857,41858,47860,52834,57275,63009,63009
Seoul,용산구,207691,3276,14139,34079,45108,59213,70195,80394,89096,97292,107965,107965
Seoul,성동구,248585,4854,20537,45615,59833,76930,90220,101854,113621,123616,137055,137055
Seoul,광진구,306081,6235,25284,55953,72507,95820,111686,130802,142035,153641,169474,169474
Seoul,동대문구,305311,6925,26420,57547,74683,95259,111670,127183,140781,152159,169257,169257
Seoul,중랑구,348659,7151,29670,62090,80850,102790,121394,138530,152520,165280,183466,183466
Seoul,성북구,396781,5270,26490,63490,84850,118808,139308,153001,171781,187734,213422,213422
Seoul,강북구,286885,6417,25313,52408,67296,85554,99260,113973,124657,134844,148116,148116
Seoul,도봉구,296367,6648,26135,56490,73189,94482,109991,124471,137536,149114,165048,165048
Seoul,노원구,474364,8986,37280,85500,114430,152381,180481,205961,227721,248418,277368,277368
Seoul,은평구,404697,7460,29580,67350,89900,117713,139193,159273,177603,193583,216594,216594
Seoul,서대문구,259967,5052,20118,45571,60779,80321,94425,108995,121244,132396,147510,147510
Seoul,마포구,321088,5360,20353,51190,70340,93830,112310,131050,146480,160059,180796,180796
Seoul,양천구,390190,6638,27343,62909,85406,112896,133789,155094,175052,193296,221401,221401
Seoul,강서구,461742,8148,31892,79001,105617,139048,164639,189221,210273,229725,256842,256842
Seoul,구로구,349345,7550,29100,63560,84320,110397,131107,150737,167910,181050,201584,201584
Seoul,금천구,202288,4510,17200,35450,45900,59675,68725,78275,86835,94255,104410,104410
Seoul,영등포구,329527,7433,27146,59945,79529,103603,121783,139902,155121,168816,186661,186661
Seoul,동작구,334327,7542,28023,61870,82550,106922,126162,145182,161882,176142,195317,195317
Seoul,관악구,447366,8760,34120,75390,100750,130559,155699,179379,200079,217792,242962,242962
Seoul,서초구,351244,4736,21689,55130,77412,105077,123283,142570,159478,174898,198923,198923
Seoul,강남구,458973,6331,29388,72050,98630,132828,157927,181388,202940,222641,251691,251691
Seoul,송파구,548880,10054,40174,94907,127999,170031,193343,230522,258218,282561,315430,315430
Seoul,강동구,399112,6939,30850,67650,90200,118445,139200,159635,178285,194895,218911,218911
Busan,중구,42147,676,3086,7047,9873,12532,14572,16568,18066,19391,20898,20898
Busan,서구,104950,2073,10197,18897,24259,30959,36302,43786,46072,48473,52529,52529
