id,name,party,sex,age,win,region,pr,rows,popcom,unpopcom
1,Kim Youngwoo,1,0,43,1,1,0,1,0,0
2,Hong Jungwook,1,0,40,1,0,0,1,1,0
3,Jang Jewon,1,0,43,1,1,0,1,0,1
4,Hong Ilpyo,1,0,54,1,0,0,1,0,1
5,Kim Jaegyun,2,0,58,1,1,0,1,0,0
6,Kang Sungjong,2,0,44,2,0,0,1,1,0
7,Kang Gijung,2,0,46,2,1,0,1,0,0
8,Baek Jaehyun,2,0,59,1,0,0,1,1,0
9,Kim Jinae,2,1,57,1,0,1,1,0,0
10,Jeong Okim,1,1,50,1,0,1,2,1,0
11,Yoon Sanghyun,1,0,48,1,0,0,2,1,0
12,Goo Sangchan,1,0,53,1,0,0,2,1,0
13,Cho Wonjin,1,0,51,1,1,0,2,0,1
14,Hyun Kihwan,1,0,51,1,1,0,2,1,0
15,Baek Sungwoon,1,0,61,1,0,0,2,1,0
16,Cho Jungsik,2,0,47,2,0,0,2,1,0
17,Cho Kyungtae,2,0,42,2,0,0,2,0,0
18,Kang Changil,2,0,58,2,0,0,2,1,0
19,Kim Younghwan,2,0,55,3,0,0,2,0,0
20,Choi Gyusung,2,0,60,2,0,0,3,1,0
21,Park Gichun,2,0,54,2,0,0,3,1,0
22,Yoo Sunho,2,0,57,3,1,0,3,0,1
23,Cho Jeonhyuk,1,0,50,1,0,0,3,1,0
24,Kim Sundong2,1,0,47,1,0,0,3,1,0
25,Kwon Youngjin,1,0,48,1,0,0,3,1,0
26,Yoo Gijoon,1,0,51,2,0,0,3,0,0
27,Kim Choonghwang,1,0,56,2,0,0,3,1,0
28,Choo Hoyoung,1,0,50,2,1,0,3,0,1
29,Hwang Jinha,1,0,64,2,0,0,3,1,0
30,Jeon Yeook,1,1,51,2,0,0,3,1,0
31,Cha myeongjin,1,0,51,2,0,0,3,1,0
32,Jeong Heesu,1,0,57,2,1,0,3,1,0
33,Lee Hansung,1,0,53,1,1,0,3,0,1
34,Kim Sungtae,1,0,52,1,0,0,3,1,0
35,Woo Jechang,2,0,47,2,0,0,3,0,1
36,Ahn Minsuk,2,0,44,2,0,0,3,1,0
37,Kim Chunjin,2,0,57,2,1,0,3,1,1
38,Byun Jaeil,2,0,62,2,0,0,3,0,0
39,Kim Heecheol,2,0,63,1,0,0,3,0,0
40,Choo Miae,2,1,52,3,0,0,4,0,1
41,Yang Seungjo,2,0,51,2,0,0,4,0,0
42,Choi Yonghee,2,1,60,1,0,1,4,0,1
43,Jeon Hyunhee,2,1,46,1,0,1,4,0,0
44,Kang Yongsuk,1,0,41,1,0,0,4,0,0
45,Joo Gwangduk,1,0,50,1,0,0,4,0,1
46,Park Bohwan,1,0,54,1,0,0,4,1,0
47,Choi Byunggook,1,0,68,3,1,0,4,0,1
48,Son Sookmi,1,1,56,1,0,1,4,0,1
49,Kang Myungsoon,1,1,58,1,0,1,4,0,0
50,Lee Aejoo,1,1,64,1,0,1,4,0,1
51,Chang Kwanggeun,1,0,56,3,0,0,4,1,0
52,Choi Goosik,1,0,50,2,1,0,4,0,0
53,Heo Cheon,1,0,67,2,0,0,4,1,0
54,Song Gwangho,1,0,68,3,0,0,4,1,0
55,Ahn Hyunghwan,1,0,47,1,0,0,4,0,0
56,Shin Yongsoo,1,0,59,1,0,0,4,1,0
57,Cho Youngtaek,2,0,59,1,1,0,4,0,0
58,Park Sunsook,2,1,50,1,0,1,4,0,0
59,Lee Seongnam,2,1,63,1,0,1,4,0,0
60,Shin Gun,2,0,69,1,1,0,4,0,0
61,Park Byungsuk,2,0,58,3,0,0,4,1,0
62,Kang Bonggyun,2,0,67,3,1,0,6,1,0
63,Choi Ingi,2,0,66,2,1,0,6,0,0
64,Jeong Bumgoo,2,0,56,2,0,0,6,0,0
65,Kim Woonam,2,0,55,2,0,0,6,0,0
66,Kwon Taekgi,1,0,68,1,0,0,5,0,0
67,Cho Moonhwan,1,0,51,1,0,1,5,0,0
68,Jeong Dooeon,1,0,53,2,0,0,5,1,0
69,Park Soonja,1,1,52,2,0,0,5,0,0
70,Jeong Soosung,1,0,64,1,1,0,5,0,0
71,Won Heemok,1,0,56,1,0,1,5,0,1
72,Shin Sangjin,1,0,54,2,0,0,5,0,0
73,Lee Choonsik,1,0,61,1,0,1,5,1,0
74,Park Sangeun,1,0,61,1,0,0,5,1,0
75,Lee Youngae,1,1,59,1,0,1,5,0,0
76,Kim Sungsoo,1,0,57,1,0,0,5,0,0
77,Shin Sungbum,1,0,47,1,1,0,5,0,1
78,Kang Seunggyu,1,0,47,1,0,0,5,0,0
79,Heo Wonje,1,0,59,1,1,0,5,0,0
80,Cho Yoonsun,1,1,44,1,0,1,5,0,0
81,Han Seongyo,1,0,51,2,0,0,5,0,0
82,Lee Cheolwoo,1,0,55,1,1,0,5,1,0
83,Jin Sungho,1,0,48,1,0,0,5,0,0
84,Seo Jongpyo,2,0,65,1,0,1,5,0,0
85,Shin Hakyong,2,0,58,2,0,0,5,0,0
86,Song Minsoon,2,0,62,1,0,1,5,1,0
87,Choi Jaesung,2,0,45,2,0,0,5,1,0
88,Won Hyeyong,2,0,59,3,0,0,5,0,1
89,Shin Nakgyun,2,1,69,2,0,1,5,1,1
90,Lee Nakyoen,2,0,58,3,1,0,7,0,0
91,Song Hoonsuk,2,0,60,3,0,0,7,0,0
92,Choi Jongwon,2,0,60,1,0,0,7,0,0
93,Chang Byungwan,2,0,58,1,1,0,7,0,0
94,Bae Youngsik,1,0,61,1,1,0,6,1,0
95,Kim Yongtae,1,0,42,1,0,0,6,0,0
96,Bae Eunhee,1,1,51,1,0,1,6,0,0
97,Lee Sacheol,1,0,58,2,0,0,6,0,0
98,Ahn Hyodae,1,0,55,1,1,0,6,1,1
99,Yoo Jeonghyun,1,0,43,1,0,0,6,0,0
100,Jeong Yangsuk,1,0,52,1,0,0,6,1,0
101,Na Sungrin,1,0,57,1,0,1,6,1,0
102,Yoon Jinsik,1,0,64,1,0,0,6,0,0
103,Cho Jinrae,1,0,45,1,1,0,6,0,0
104,Yeo Sanggyu,1,0,62,1,1,0,6,0,0
